ラベル	満足度	文章	会員ID
買物・飲食	1	近くにスーパーが新しく出来たりしたのですぐに買い物に行ける。	1236725442
医療・福祉	-1	近くに大きな病院がなく大きな病院があるのが少し遠いから	1236725442
遊び・娯楽	-1	近くに公園が少なくもう少し公園などが多いと良いなと思います	1236725442
自然の恵み	1	山、海のほか、公園などもある	1227452706
事故・犯罪	1	周辺で大きな犯罪は起きていない	1227452706
移動・交通	-1	近くに鉄道の駅がない	1227452706
買物・飲食	-1	近くにスーパーが少ない	1227452706
都市景観	1	新しい物と古い物、現代の物と昔の物がうまく調和していて魅力的な都市になっている。	1227356168
自然の恵み	1	都市部と郊外と自然がほどよくあり、調和していて過ごしやすい土地を形成している。	1227356168
自然の恵み	-1	大都市がある反面、海もあり、山もあり、自然に恵まれている。	1227356168
子育て	-1	昔の良いものと国際都市うまく融和していて、教育には良い環境になっている。	1227356168
住宅環境	1	３	1225689184
住宅環境	1	集合住宅の賃貸の家賃が都内と比べると安い	1233482526
移動・交通	1	都内への通勤が許容範囲だから	1233482526
買物・飲食	-1	スーパーが少ないかなと思う	1233482526
買物・飲食	-1	飲食店も少ないかなと思う	1233482526
買物・飲食	1	大きめの商業施設が各所にあって選択肢が多いところ	1235472501
移動・交通	1	車がなくても困らないところ。東京まで近いこと。空港や新幹線も使いやすい	1235472501
地域行政	-1	横浜で生まれ育った後、何度か地方へ引っ越してまた帰ってきました。他のところより住民サービスの質がものすごく低い。住民にお金をかけない姿勢がすごい。	1235472501
自然災害	-1	災害時人口が多すぎて対応できないのではないか。シミュレーションをしっかりしてほしい	1235472501
移動・交通	1	横浜駅やみなとみらいに行くための交通機関が充実している。	1233779843
自然景観	1	近くにこども自然公園があります。	1233779843
買物・飲食	-1	スーパーが1つあるだけで、商品価格が高いこと。	1233779843
地域行政	-1	徒歩圏内に図書館が欲しい。	1233779843
都市景観	1	他府県の人からうらやましがられる	1230928903
移動・交通	1	交通が便利で車がなくても移動が楽	1230928903
自然災害	-1	都市部でありながら土ス砂くずれするなど災害によわい	1230928903
医療・福祉	-1	優良な病院が少ない上に混みすぎ	1230928903
住宅環境	1	大都市である東京にも近く、一方で自然も多く、バランスのいいエリアだと思っているので。	1236131468
買物・飲食	1	チェーン展開しているお店がたくさんあり、かつ商店街の個人商店も頑張っていて、住民にとっては選択肢が色々あることが満足。	1236131468
子育て	-1	隣の東京都に比べて、子育て世代への経済的恩恵がお粗末すぎる。私立中学無償化も所得制限ありで、納税を多くしている層への配慮が全くない。大都市であるという矜持を持ってほしい。	1236131468
医療・福祉	-1	子供の所得制限なしの医療費無償化を１８歳まで拡大してほしい。	1236131468
医療・福祉	1	精神障害者なのですが医療費が無料なのは本当にありがたいです	1234539975
事故・犯罪	1	物騒な話は一切聞かないので治安はかなり良い方だと思います	1234539975
買物・飲食	-1	スーパーは駅周辺にしかないのでとても不便です##元々全体的に高いのですが値上げしてからは気軽に買うことができず車で隣の逗子まで買いに行っています	1234539975
移動・交通	-1	近所のバス停は朝と夕方以降以外は1時間に2本しかないのでとても不便です##せめて3本にして頂きたいです	1234539975
買物・飲食	1	価格の安いスーパーがある	1235962111
住宅環境	1	一戸建てなので騒音とかがあまりきにならない	1235962111
移動・交通	-1	最終バスの時間が早いので深夜バスを出してもらいたい	1235962111
遊び・娯楽	-1	もっと娯楽施設を増やしてほしい	1235962111
移動・交通	1	交通の便が良い	1235411271
環境共生	1	都市部でありながら、自然豊かな街で落ち着いている	1235411271
買物・飲食	-1	商業施設の多さが発展途上	1235411271
子育て	-1	保育園がなかなか入れないと聞いた	1235411271
自然景観	1	海が近く、歩いていけるので気軽に行ける。##また山もあって富士山もよく見えるので景観がいいと感じる。	1235877016
買物・飲食	1	都市部に比べたら、お店は少ないものの、中心部には大型店舗もたくさんあり、コンビニやスーパーも各所に点在しているので、便利。	1235877016
移動・交通	-1	車の渋滞を改善してほしいと思う。##特に街中、土日などは渋滞がすごく移動にかなりの時間がかかりストレスもたまる。信号が短かったり、道路が狭い箇所、右折レーンがないところなど、渋滞の原因となるものがあるので改善してほしい。	1235877016
地域行政	-1	自分は障害者で、障害福祉課によく電話するが、対応がよくないと感じる。言葉遣いや言い方など。##それゆえに電話するのを躊躇してしまいそうになる。	1235877016
住宅環境	1	自転車で移動の範囲に何でもあり、何をするにも便利	1235938627
買物・飲食	1	スーパーが近くに複数あり、欲しいものを選べる	1235938627
買物・飲食	1	飲食店が充実している	1235489464
公共空間	1	病院や区役所など行きやすい	1235489464
環境共生	-1	ゴミが多い	1235489464
事故・犯罪	-1	夜ね治安が良くない	1235489464
買物・飲食	1	家の近くにスーパー、コンビニ、ドラッグストアがある	1229563186
医療・福祉	1	家の近くに医療機関が複数ある	1229563186
地域行政	-1	住民税が高い	1229563186
自然の恵み	-1	緑地が少ない	1229563186
買物・飲食	1	最寄り駅周辺にスーパーが3件、ドラッグストア2件。コンビニは3.4件あり、時間問わず、急な買い物にも困らない。	1232532290
移動・交通	1	最寄り駅から職場まで1時間程度かかるが、電車1本で行ける。都市部にも出やすい路線。	1232532290
医療・福祉	-1	大きな病院が縮小していっている。設備も貧弱になっていてそのうちなくなるんじゃないかと不安。対して、接骨院や処方箋薬局は飽和状態なのにまだ増えそう。	1232532290
事故・犯罪	-1	市内で凶悪事件が多い。一体どうなっているんだ。	1232532290
公共空間	1	設備が新しく整っている	1235987498
自然の恵み	1	森もあり、緑が多い	1235987498
事故・犯罪	-1	治安がもっと良くなると良い	1235987498
買物・飲食	-1	お得感が少ない	1235987498
自然災害	1	対策がしっかりなされてる	1236318413
初等・中等教育	1	対策がしっかりなされてる	1236318413
医療・福祉	-1	対策がしっかりなされてる	1236318413
子育て	-1	対策がしっかりなされてる	1236318413
住宅環境	1	都心へ出て行く交通の便が良い割には海、山の自然に恵まれていている。普段の買物、医療機関もそれなりに揃っている。程よく都会で程よく田舎なのが良い。	1234683287
自然景観	1	海も山も身近に感じられ、公園も多い。	1234683287
地域行政	-1	他地域に比べても高齢者の割合が著しく多い地域の活性化はどうしたら良いのか？…。リーダーシップを取っていた年代も高齢化して次の担い手がなかなか見つからない。	1234683287
移動・交通	-1	バスルートの維持。増便は難しいかも知れないが減便は避けて欲しい。	1234683287
買物・飲食	1	色んな店がある	1236967621
遊び・娯楽	1	本数が多い	1236967621
地域行政	-1	ダメ	1236967621
子育て	-1	ダメ	1236967621
初等・中等教育	1	小学校に自宅から近い	1236633127
事故・犯罪	1	老人が多いので治安は悪くない	1236633127
移動・交通	-1	相鉄線が止まったら逃げ場無し	1236633127
自然災害	-1	古い家が多いので地震による倒壊が怖い	1236633127
住宅環境	1	都市整備	1233760218
移動・交通	1	公共交通機関	1233760218
地域行政	-1	生活保護	1233760218
地域行政	-1	税金	1233760218
自然景観	1	海が近く、駅前も商店街が広がっていて、ほどほどに発展していてとても住みやすい点。	1236773655
移動・交通	1	東海道線と相模線があるので、小田原、都内、海老名方面へと気軽に行ける点	1236773655
公共空間	-1	図書館の平日、祝日の開業時間を２０時くらいまで伸ばしてほしい	1236773655
遊び・娯楽	-1	北口のパチンコ屋の周りがタバコ臭いので改善してほしい	1236773655
自然景観	1	金沢八景に居住しており、海、山が近い。	1233877116
初等・中等教育	1	近くに保育園～大学迄の教育機関が揃っている。	1233877116
買物・飲食	-1	近所に飲食店を増やして欲しい。	1233877116
移動・交通	-1	自転車専用道路を増やして欲しい。	1233877116
都市景観	1	街並みもきれいで、とても過ごしやすい	1231631796
移動・交通	1	利便性も良く、とてもよいと思う。	1231631796
事故・犯罪	-1	治安があまりよくないので、しっかり整備してほしいです。	1231631796
デジタル生活	-1	もっとキャンペーンを行ってほしいです。	1231631796
買物・飲食	1	徒歩1~5分にコンビニ、スーパー、ドラックストア等があって便利。	1233466201
移動・交通	1	JR、京急、臨港バス、全て徒歩圏内。	1233466201
環境共生	-1	ゴミの集積所が少し汚ない。	1233466201
自然災害	-1	少し心配。	1233466201
医療・福祉	1	湘南鎌倉総合病院の救命救急がある。	1228579211
移動・交通	1	交通アクセスが良い	1228579211
地域行政	-1	オーバーツーリズム	1228579211
買物・飲食	-1	飲食店が少なくなっている	1228579211
住宅環境	1	都心部に比べ安価で広い	1229439441
自然景観	1	山あり	1229439441
移動・交通	-1	電車の利便性	1229439441
事故・犯罪	-1	不審者もいる	1229439441
買物・飲食	1	横浜駅周辺のお店が充実している。	1237037778
住宅環境	1	横浜駅に近い場所に住んでいる。	1237037778
子育て	-1	子育て支援の費用を自治体から出してほしい。	1237037778
初等・中等教育	-1	教育費の補助を自治体にお願いしたい。	1237037778
移動・交通	1	都心までのアクセスが楽	1235837916
住宅環境	1	それほどごみごみしてない	1235837916
子育て	-1	保育園が少ない	1235837916
買物・飲食	-1	夜まで営業している飲食店が少ない	1235837916
移動・交通	1	公共交通機関が豊富で日常の移動に困ることがほぼ無い事	1235094633
自然景観	1	中心部を外れると自然が豊富に残っていて緑と触れ合うことが出来る	1235094633
地域行政	-1	住民税が高いわりに図書館などの施設が非常に貧弱	1235094633
住宅環境	-1	部屋の広さのわりに家賃相場が高い	1235094633
買物・飲食	1	食料品や日用品、衣類などの生活必需品を購入出来る場所の選択肢が多くある。##飲食店もチェーン店などの気軽なお店、ホテルなどの高級志向なお店、手軽な個人店など、選択肢が潤沢にある。	1230092696
都市景観	1	みなとみらい地区は観光地としても、オフィス街としても発展を続けている。	1230092696
自然景観	-1	意外と山地が多く、緑が豊富にある。##また、山下公園や港の見える丘公園など、緑が豊富にある公園も多くある。	1230092696
移動・交通	-1	中区は都心部だと思いますが、住宅地方面の交通がバスが主になっており、鉄道は少し不便だったりする。	1230092696
住宅環境	1	自然が豊	1227374968
移動・交通	1	住宅地なので移動する車がないにもかかわらず##バス路線が充実している	1227374968
買物・飲食	-1	移動販売のスーパーがあれば良い	1227374968
自然災害	-1	高台の地域のため停電時には断水になる可能性がある	1227374968
買物・飲食	1	ご飯やスイーツなど、東京となんら遜色がないのに安くて美味しいため	1234914771
遊び・娯楽	1	有名な観光スポットが多い。他にも近場にタダで遊べる場所や、緑も多く広い公園が多い	1234914771
事故・犯罪	-1	川崎や湘南など治安が悪いエリアが多い	1234914771
デジタル生活	-1	政治家の中にデジタル面に明るい人間が全くいない	1234914771
事故・犯罪	1	治安がよい	1230150615
事故・犯罪	1	治安が良い	1230150615
買物・飲食	-1	ショッピングモールとかが少ない	1230150615
移動・交通	-1	電車の本数が少ない	1230150615
買物・飲食	1	大型スーパーなどが結構ある	1236532447
買物・飲食	1	アクセスしやすい場所にスーパーなどが結構ある	1236532447
事故・犯罪	-1	空き巣などが増加しているため、パトロールを増やして欲しい	1236532447
移動・交通	-1	場所によってはバスの本数が少ないので、増やして欲しい	1236532447
移動・交通	1	安くて早く移動できる。道がこまない	1233241675
買物・飲食	1	近くで済む	1233241675
都市景観	-1	緑も豊か	1233241675
自然災害	-1	つよい	1233241675
自然の恵み	1	水の美味しさ、自然へのアクセスの良さ	1236902867
移動・交通	1	駅や高速道路のインターが多く便利	1236902867
移動・交通	-1	道路の痛みがひどい箇所がある##交通量に対して道幅が狭い箇所がある	1236902867
公共空間	-1	体育館に屋内プールを作って欲しい	1236902867
住宅環境	1	団地に住んでいるが、敷地内に学校からスーパー、病院まですべてが揃っており、ここだけで生活が完結できること。	1233599704
子育て	1	公園や文化施設が近くにあり、子供の発達相談ができるから。	1233599704
自然の恵み	-1	地域に自然が少ないと感じる。また、車の排気ガスや工場のにおいが気になるので、改善が必要である。	1233599704
事故・犯罪	-1	治安が少し悪いように感じる。子供の成長において、心配であるから。	1233599704
住宅環境	1	田舎過ぎず、都会過ぎず	1233732889
自然景観	1	海のある生活と、田園のある生活	1233732889
移動・交通	-1	道路整備は必要	1233732889
自然災害	-1	津波対策	1233732889
住宅環境	1	小さな町だけど気候もよく災害の心配があまり無い	1232605563
自然景観	1	緑が多く寒川神社が有名	1232605563
移動・交通	-1	相模線の本数を増やしてほしい	1232605563
買物・飲食	-1	大きなショッピングモールが少なくもっと便利になってほしい	1232605563
移動・交通	1	地域のコミュニティバスが運行されている	1234144818
買物・飲食	1	大型スーパーが充実している	1234144818
医療・福祉	-1	特定検診等、隣の相模原市の病院も対象にしてほしい	1234144818
公共空間	-1	立派な図書館があるとよい	1234144818
移動・交通	1	都内にも出やすいですし、ほとんどのことは横浜市内で済ませることができるので	1232063873
買物・飲食	1	横浜市内でほとんどのものがそろうため	1232063873
デジタル生活	-1	市が率先して、デジタル生活を推し進める施策をしてほしい	1232063873
住宅環境	-1	住宅購入に補助を出してほしい	1232063873
自然の恵み	1	海があり、山もあり、緑豊かで公園等もたくさんあるところ。	1232508684
自然の恵み	1	すべてで自然豊かなところ。	1232508684
医療・福祉	-1	大きい病院が少なく、しかも古い。高齢者が多いのに、入院できるベッド数が少ないのではないかと思う。	1232508684
買物・飲食	-1	買い物難民もでるのではないかと思うほど不自由。県立大学など1か所にかたまっていて、しかも駅から遠くて、車のある人向けのお店が多い。	1232508684
移動・交通	1	電車の駅が、鹿島田駅と新川崎駅が、徒歩10分以内にあり、バス停は、家の目の前にある。##また、駅と同様に、商業施設も充実しており、徒歩圏内にある。	1236618153
初等・中等教育	1	小学校や中学校は、近くにあり、幼稚園や保育園もすぐ近くに、数件ある。##塾もかなり充実している。	1236618153
公共空間	-1	市役所や図書館、体育館が、同じ場所にあるが、中途半端な距離で、歩いていくにはちょっと遠いいし、バスで行くにはちょっとお金を払うには躊躇する距離にある。	1236618153
自然景観	-1	都会であるので、自然の猪足空間がない。##作られた、広場や公園は、あるが自然環境とはいいがたい。	1236618153
自然景観	1	緑が多い。樹木が多い	1230516385
自然の恵み	1	富士山と梅景観がよい。海からみる箱根連山の景観もよい	1230516385
住宅環境	-1	箱物が多い##	1230516385
地域行政	-1	自民系の市長なので色色なめんでこまる	1230516385
自然景観	1	都会すぎず田舎すぎず、少し歩けば自然を感じられる公園や川沿いには期間限定でホタルが見れる場所があったり。	1236923301
移動・交通	1	電車で一駅二駅先には海老名や大和に出れる。##	1236923301
子育て	-1	子育て支援にもう少し力を入れて欲しい。子供が育てやすい環境だからこそ、そこが改善されれば尚良い。	1236923301
買物・飲食	-1	飲食店が少ない。最近は少しずつ増えてきたとは思うけど、駅チカは居酒屋ばっかり。	1236923301
買物・飲食	1	買い物や飲食の商業施設が充実していることです。	1231785741
移動・交通	1	何処に移動するにしても、バスや鉄道の便が良いことです。	1231785741
公共空間	-1	最寄駅について、エスカレーターなどが少なく階段利用となるため、高齢者のことを考えて改善して欲しいです。	1231785741
都市景観	-1	地元の街並みは都市計画なく行われているため改善して欲しいです。	1231785741
医療・福祉	1	医療施設の選定が出来る程たくさんある	1235699905
買物・飲食	1	施設がたくさんあるので満足	1235699905
事故・犯罪	-1	治安強化	1235699905
移動・交通	-1	渋滞の解消等	1235699905
医療・福祉	1	徒歩10分以内に内科、歯科、外科、皮膚科、総合病院等があり年寄りには大変有り難いです。	1236331001
買物・飲食	1	スーパーや専門店が多くて買い物やショッピングに便利です。	1236331001
移動・交通	-1	複数の鉄道や交通機関の充実が望まれる。	1236331001
デジタル生活	-1	アナログでも対応してくれる、行政の確保。	1236331001
移動・交通	1	車がなくても生活できる	1231621938
買物・飲食	1	最寄りの駅ですべて事足りる	1231621938
医療・福祉	-1	大都市のわりに大病院が少ない。また、すべてにおいて東京に負けてる。所得に関わらず高校の無償化や高校生までの医療費無償化もまだ。市長が頼りにならない。	1231621938
デジタル生活	-1	区役所に行かなくても手続きができるようにしてほしい	1231621938
住宅環境	1	駅チカ	1236971671
事故・犯罪	1	犯罪少ない	1236971671
自然災害	-1	地盤	1236971671
都市景観	-1	ビルが高い	1236971671
自然の恵み	1	少し行けばちょっとした森や竹林があり、たぬきや蛇などの遭遇率が高いです。	1235903565
移動・交通	1	バスで30分もあればアクセスの良い駅があります。	1235903565
事故・犯罪	-1	川崎は治安が悪いと思われがちな事件が多いです。警察の対応もイマイチだとの噂を多いです。	1235903565
医療・福祉	-1	歯医者ばかりな気がします。あっても山の上など立地アクセスが悪いです。	1235903565
買物・飲食	1	チェーン店でない美味しい飲食店が有る。	1236841072
住宅環境	1	雪が滅多に積もらない、晴れてる日が多い。	1236841072
住宅環境	-1	場所によって住宅街なのに風向きや時間を考えない野焼きが多くて健康被害や洗濯被害が辛い。	1236841072
環境共生	-1	スギ花粉対策をしてほしい。	1236841072
買物・飲食	1	いろいろある	1233204775
地域行政	-1	図書館がしょぼい	1233204775
事故・犯罪	-1	治安が悪いところもある	1233204775
遊び・娯楽	1	いろいろな施設が徒歩圏内にまとまっている。アミューズメント施設とショッピングモールが多い。	1232255835
都市景観	1	歴史的建造物が数多く残っている。保全活動も盛ん。	1232255835
子育て	-1	他自治体に比べて子育て関連の助成制度が少ない。給食も無料ではない。	1232255835
地域行政	-1	公務員としての矜持を感じない。隠蔽体質が目立つ。	1232255835
自然景観	1	自宅からの景観に満足している。山の斜面の緑が間近に見える。	1229130520
買物・飲食	1	散歩程度に歩く距離にスーパー、コンビニ、飲食店があり便利。	1229130520
地域行政	-1	特に改善の必要なし。	1229130520
遊び・娯楽	-1	特に改善の必要なし。	1229130520
住宅環境	1	過ごしやすい	1224969646
移動・交通	1	駅やバス停が近い	1224969646
買物・飲食	-1	スーパーが近くに欲しい	1224969646
地域行政	-1	無駄な公共工事は止めてほしい	1224969646
買物・飲食	1	東京まで行かなくても大体の者が手に入る便利な街だよ横浜	1233936902
公共空間	1	東京から程よく離れていて公共機関も土地が広く建てられる	1233936902
都市景観	-1	いつでも素敵なみなとみらい地区、観光ではなく普通に散歩気分で会楽しめる	1233936902
子育て	-1	子育て支援は次世代の為の是非お願いしたい	1233936902
移動・交通	1	新宿や横浜など都市部へのアクセスがよいため。	1236273379
自然景観	1	江ノ島や鎌倉などの観光地が近いため。	1236273379
自然災害	-1	海岸が近いため津波対策などが充実すると安心できる。	1236273379
デジタル生活	-1	迷子の放送など良くも悪くも田舎っぽさが残っているのでデジタル技術でアップデートできれば良いと思う。	1236273379
買物・飲食	1	大手チェーンのお店から、地元の飲食店もたくさんあり選択肢が豊富	1237004539
自然景観	1	海沿いの景色はやはり気持ちが良くて好きです。	1237004539
移動・交通	-1	善行団地方面から俣野小学校方面に路線バスができて欲しい。	1237004539
初等・中等教育	-1	小学校のトイレがまだ和式が多く、子供はあまり使いたがらないのでもっと洋式化してほしい。	1237004539
住宅環境	1	東京、横浜などへのアクセスが良く、家賃が安い。	1231528317
自然景観	1	自然が多い	1231528317
子育て	-1	子育てに優しい政策が欲しい	1231528317
地域行政	-1	もっとDXを進めて欲しい	1231528317
移動・交通	1	電車	1234433237
買物・飲食	1	量販店の数	1234433237
住宅環境	-1	道路の路面	1234433237
移動・交通	-1	鶴見の踏切	1234433237
自然災害	1	自然災害が少なく安心して暮らせている点で満足している	1234508164
医療・福祉	1	かかりつけの病院も大きな病院も近くにあり不安はない点	1234508164
事故・犯罪	-1	地域犯罪をなくしてほしい	1234508164
地域行政	-1	行政が入り組んでて問題が起こった時にどの課に行けばいいかわからないこと	1234508164
住宅環境	1	買い物できる場所が近い	1232434398
移動・交通	1	バスが多い	1232434398
遊び・娯楽	-1	犬と暮らしやすい街にして欲しい	1232434398
地域行政	-1	交通渋滞	1232434398
自然の恵み	1	地元の野菜や魚介類が美味しい	1233829605
事故・犯罪	1	犯罪件数は比較的少ない方ではないかと思う	1233829605
移動・交通	-1	災害時、国道が塞がった場合、陸の孤島になる危険性が高い	1233829605
デジタル生活	-1	電波や通信の状況が非常に悪い	1233829605
買物・飲食	1	個人店からショッピングモールまで多種多様な店が有る	1229771340
移動・交通	1	電車やバスがそれなりに有る	1229771340
住宅環境	-1	家賃とか意外と高い	1229771340
医療・福祉	-1	市内に大きな病院が少ない	1229771340
自然景観	1	周りが山なので景色が良くて静かで、住み心地は良いです。	1228123426
自然の恵み	1	自然が豊かなので、散歩など良い。	1228123426
移動・交通	-1	バスが早い時間帯で無くなってしまい、タクシーも無いので、夜遅くまで出かけられない。せめてタクシーがあれば。	1228123426
買物・飲食	-1	飲食店が無いので、外食の時はかなり遠くまで行かないと。	1228123426
移動・交通	1	小田急線の相模大野駅が最寄り駅なので、各方面へのアクセスが容易なためです。	1230341764
買物・飲食	1	商業施設が充実しています。	1230341764
自然災害	-1	将来への備えとして。	1230341764
事故・犯罪	-1	危機管理のため。	1230341764
子育て	1	同世代の人が比較的多く、家族ぐるみで仲良くできる人がいること	1235608322
買物・飲食	1	近隣にスーパーやドラッグストアが多い	1235608322
移動・交通	-1	最寄り駅までのアクセスが悪すぎる	1235608322
地域行政	-1	行政とどのように関わればよいか分からない	1235608322
自然景観	1	ちょっと歩けば富士山が見える事。	1232580852
初等・中等教育	1	小学校、中学校がすぐ近くにある事。	1232580852
自然災害	-1	もし万が一大地震が発生して津波が起こったとしたら、被害を受けることが予想されるため	1232580852
遊び・娯楽	-1	バカなサーファーが多く、迷惑しているから	1232580852
買物・飲食	1	買い物しやすい	1227180545
移動・交通	1	交通に便利	1227180545
医療・福祉	-1	病院が近くにない	1227180545
遊び・娯楽	-1	遊び場が少ない	1227180545
住宅環境	1	住宅街の中にあり、車の往来が少なく、夜も静かである。	1234804383
自然災害	1	高台にあり、洪水の心配がない。また、地盤が固く地震に強いと言われている。	1234804383
移動・交通	-1	駅までバスのため、現在計画中の地下鉄が早く開通して欲しい。	1234804383
買物・飲食	-1	徒歩圏内スーパーが閉店してしまい、跡地が空いているので、そこにまたスーパーが開業して欲しい。	1234804383
遊び・娯楽	1	子連れでも過ごしやすいスポットが多い	1234463037
移動・交通	1	東京などにも行きやすく、便利	1234463037
子育て	-1	子育てに関わる施策が他県に比べて少ない	1234463037
初等・中等教育	-1	子育てに関わる施策が他県に比べて少ない	1234463037
買物・飲食	1	すぐご飯屋さんや洋服屋さんがある	1236220523
移動・交通	1	駅からどこでも行きやすい	1236220523
住宅環境	-1	家賃を下げて欲しい	1236220523
事故・犯罪	-1	車通りが多いため	1236220523
住宅環境	1	緑が多い	1236168083
移動・交通	1	都心に出やすい	1236168083
子育て	-1	給食を実現して欲しい	1236168083
医療・福祉	-1	病院から少ない	1236168083
地域行政	1	地域では、学生さんとお店がコラボして何か新商品を作ったり、福祉の面も声掛けや町ぐるみでイベントなど、月内で催し物を開催し、孤独にならない様防いだりと活発に実施されているのを知っているからです。	1236231682
デジタル生活	1	アプリで、行政の手続きやスマホなど操作がわからない場合には、様々な地域と日時が沢山あり、学習しやすくなっています。	1236231682
買物・飲食	-1	空き地があっても、採算が取れないのか、団地にあった近くのお店が閉店して、買い物も高齢者はバスに乗るか、宅配かと、重い荷物を持ってトボトボやっと歩いているのを見かけている。	1236231682
自然災害	-1	自然災害が起きる前に準備するものなど、たまにしか情報が無い、具体的に何を事前にが足りない。	1236231682
移動・交通	1	他の街に行きやすいから	1232997555
買物・飲食	1	なにかしろ利用できるから	1232997555
都市景観	-1	のんびり過ごせるから	1232997555
遊び・娯楽	-1	なにもないから	1232997555
買物・飲食	1	いろんなお店があって買い物しやすいから。	1230659682
移動・交通	1	交通機関が整っているので便利	1230659682
都市景観	-1	犬のフンなどの処理をしない飼い主の人がいて歩道にフンが散らばっていることがあるから。	1230659682
事故・犯罪	-1	人柄が悪いところがあるから。	1230659682
買物・飲食	1	近くにスーパー等がある	1231455821
自然景観	1	他に選択肢がないだけ	1231455821
デジタル生活	-1	5gが入るようにしてほしい	1231455821
移動・交通	-1	渋滞緩和	1231455821
移動・交通	1	利用できる鉄道が3路線あるから。	1227859996
買物・飲食	1	スーパーマーケットが近隣に３件以上ある。	1227859996
住宅環境	-1	防犯の徹底	1227859996
医療・福祉	-1	休日に診療してくれる医療機関が増えてほしい	1227859996
子育て	1	無料の遊び場がある。公園がきれい。	1233033918
医療・福祉	1	病院が近くにたくさんあり、選べる	1233033918
移動・交通	-1	バスの本数を増やして欲しい	1233033918
地域行政	-1	区役所が遠いから、簡易でもいいから増やして欲しい	1233033918
住宅環境	1	人も多すぎず煩くもなく環境良しかと…	1233152967
買物・飲食	1	買い物に不便しない	1233152967
事故・犯罪	-1	事故、犯罪を選択したが、特に気になるところはない	1233152967
事故・犯罪	-1	これも前項に同じです	1233152967
自然災害	1	自然災害での大きな影響もなく、安全性は高いと思います。	1234298005
自然景観	1	森林に囲まれたのどかなところです。	1234298005
買物・飲食	-1	駅前のスーパーは比較的充実しているのですが、商業施設が全くないので、どうにか改善して欲しいです。	1234298005
地域行政	-1	市役所での手続きの一部が駅前でも可能のようですが、もっと種類を増やして欲しいです。	1234298005
買物・飲食	1	近所でほとんどすべての買い物が満足にできる	1232362845
医療・福祉	1	近所に病院がたくさんあり、何かあっても困らない	1232362845
事故・犯罪	-1	治安が悪い##事件が多い	1232362845
自然景観	-1	自然が少ないと感じる	1232362845
買物・飲食	1	川崎駅前に商業施設が集積している	1229036608
移動・交通	1	東京にも横浜にも電車ですぐ行けるし空港も近い	1229036608
自然景観	-1	街の緑をもっと増やしてほしい	1229036608
事故・犯罪	-1	繁華街の治安の維持にもっと努めてほしい	1229036608
買物・飲食	1	買い物をする場所はたくさんあって便利だから。	1230669296
移動・交通	1	交通機関は整っているので移動は便利だから。	1230669296
都市景観	-1	犬のフンを掃除しない人がいて歩道などフンが散らばっているから。	1230669296
事故・犯罪	-1	人柄の悪い人がいるところが怖いから。	1230669296
買物・飲食	1	近所にスーパー、コンビニ、ドラッグストア、ホームセンターなど、全て徒歩圏内にあるから。	1236161482
自然の恵み	1	ダム、牧場、森林、公園などがあって自然な中で過ごすことができる。	1236161482
子育て	-1	子育てに関して支援が少ない。物資の支給などないし、現金支給も乏しい。##	1236161482
初等・中等教育	-1	先生の数が圧倒的に足りない。##手がかかる子がいて支援が必要なときなど、突発的な出来事に対してフォローしてくれる人がいない。	1236161482
自然景観	1	海、山　両方の美しい景観を楽しめる	1231476398
自然の恵み	1	新鮮な魚を食べられるから。	1231476398
地域行政	-1	小田原駅周辺の設備を改善して、地域活性に繋げてほしい。小田原城、観光客はいるのに生かしきれていないところが残念。	1231476398
買物・飲食	-1	買い物をする施設が少ない。##平塚、ネットで済ませてしまうので、若い方向けのショッピングセンターが欲しい	1231476398
買物・飲食	1	駅近にお店が多く便利	1225256302
自然景観	1	川沿いの歩道が整備されている	1225256302
公共空間	-1	図書館が古い	1225256302
移動・交通	-1	海老名のほうが発展しつつある	1225256302
買物・飲食	1	ロピアが沢山ある	1236637248
遊び・娯楽	1	交通の便がよく色々行ける	1236637248
事故・犯罪	-1	治安が悪い	1236637248
初等・中等教育	-1	民度を上げる教育	1236637248
買物・飲食	1	東京に近く色々選べる	1236981017
遊び・娯楽	1	横浜に色々新規レジャー施設が出来てきて助かる	1236981017
事故・犯罪	-1	犯罪が多い	1236981017
初等・中等教育	-1	道徳を教えましょう	1236981017
買物・飲食	1	スーパーが多い	1236839326
遊び・娯楽	1	バスが充実している	1236839326
事故・犯罪	-1	治安	1236839326
初等・中等教育	-1	ヤンキーが多い	1236839326
移動・交通	1	公共乗り物が多い	1235967788
都市景観	1	何となく	1235967788
医療・福祉	-1	不満だらけで書ききれない	1235967788
子育て	-1	子供が住みづらい	1235967788
自然景観	1	近くに大きな公園があります。子供達とお弁当を持って一日楽しむことができます。	1232664828
買物・飲食	1	電車に乗りますが、買い物で欲しいと思った物は手に入ります。助かります。	1232664828
医療・福祉	-1	大きな病院はあり安心なのですが、地域の小さな病院が少なくて発熱外来などは、混んでいるからと断られることもあります。	1232664828
移動・交通	-1	交通機関は十分あるのですが、バスが走っていない部分があります。近くの駅まで徒歩20分、近くのバス停まで10分かかります。	1232664828
医療・福祉	1	公費負担が充実しています。精神だけでなく身体も。またそれに伴う、市営交通の(一部負担)フリーパスがあります。手続きは面倒な部分は否めませんが、窓口担当者は丁寧に説明してくれます。やはり自治体の規模に比例する、と言えます。	1234831323
