設問1	設問2	設問3	設問4	設問5	設問6	設問7	設問8	設問9	会員ID
横浜市	移動・交通	公共交通機関が豊富で日常の移動に困ることがほぼ無い事	自然景観	中心部を外れると自然が豊富に残っていて緑と触れ合うことが出来る	地域行政	住民税が高いわりに図書館などの施設が非常に貧弱	住宅環境	部屋の広さのわりに家賃相場が高い	1235094633
横浜市	買物・飲食	食料品や日用品、衣類などの生活必需品を購入出来る場所の選択肢が多くある。##飲食店もチェーン店などの気軽なお店、ホテルなどの高級志向なお店、手軽な個人店など、選択肢が潤沢にある。	都市景観	みなとみらい地区は観光地としても、オフィス街としても発展を続けている。	自然景観	意外と山地が多く、緑が豊富にある。##また、山下公園や港の見える丘公園など、緑が豊富にある公園も多くある。	移動・交通	中区は都心部だと思いますが、住宅地方面の交通がバスが主になっており、鉄道は少し不便だったりする。	1230092696
横浜市	住宅環境	自然が豊	移動・交通	住宅地なので移動する車がないにもかかわらず##バス路線が充実している	買物・飲食	移動販売のスーパーがあれば良い	自然災害	高台の地域のため停電時には断水になる可能性がある	1227374968
横浜市	買物・飲食	ご飯やスイーツなど、東京となんら遜色がないのに安くて美味しいため	遊び・娯楽	有名な観光スポットが多い。他にも近場にタダで遊べる場所や、緑も多く広い公園が多い	事故・犯罪	川崎や湘南など治安が悪いエリアが多い	デジタル生活	政治家の中にデジタル面に明るい人間が全くいない	1234914771
藤沢市	自然景観		移動・交通		住宅環境		移動・交通		1233109350
寒川町	事故・犯罪	治安がよい	事故・犯罪	治安が良い	買物・飲食	ショッピングモールとかが少ない	移動・交通	電車の本数が少ない	1230150615
横浜市	買物・飲食	大型スーパーなどが結構ある	買物・飲食	アクセスしやすい場所にスーパーなどが結構ある	事故・犯罪	空き巣などが増加しているため、パトロールを増やして欲しい	移動・交通	場所によってはバスの本数が少ないので、増やして欲しい	1236532447
川崎市	移動・交通	安くて早く移動できる。道がこまない	買物・飲食	近くで済む	都市景観	緑も豊か	自然災害	つよい	1233241675
秦野市	自然の恵み	水の美味しさ、自然へのアクセスの良さ	移動・交通	駅や高速道路のインターが多く便利	移動・交通	道路の痛みがひどい箇所がある##交通量に対して道幅が狭い箇所がある	公共空間	体育館に屋内プールを作って欲しい	1236902867
川崎市	住宅環境	団地に住んでいるが、敷地内に学校からスーパー、病院まですべてが揃っており、ここだけで生活が完結できること。	子育て	公園や文化施設が近くにあり、子供の発達相談ができるから。	自然の恵み	地域に自然が少ないと感じる。また、車の排気ガスや工場のにおいが気になるので、改善が必要である。	事故・犯罪	治安が少し悪いように感じる。子供の成長において、心配であるから。	1233599704
藤沢市	住宅環境	田舎過ぎず、都会過ぎず	自然景観	海のある生活と、田園のある生活	移動・交通	道路整備は必要	自然災害	津波対策	1233732889
寒川町	住宅環境	小さな町だけど気候もよく災害の心配があまり無い	自然景観	緑が多く寒川神社が有名	移動・交通	相模線の本数を増やしてほしい	買物・飲食	大きなショッピングモールが少なくもっと便利になってほしい	1232605563
座間市	移動・交通	地域のコミュニティバスが運行されている	買物・飲食	大型スーパーが充実している	医療・福祉	特定検診等、隣の相模原市の病院も対象にしてほしい	公共空間	立派な図書館があるとよい	1234144818
横浜市	移動・交通	都内にも出やすいですし、ほとんどのことは横浜市内で済ませることができるので	買物・飲食	横浜市内でほとんどのものがそろうため	デジタル生活	市が率先して、デジタル生活を推し進める施策をしてほしい	住宅環境	住宅購入に補助を出してほしい	1232063873
横須賀市	自然の恵み	海があり、山もあり、緑豊かで公園等もたくさんあるところ。	自然の恵み	すべてで自然豊かなところ。	医療・福祉	大きい病院が少なく、しかも古い。高齢者が多いのに、入院できるベッド数が少ないのではないかと思う。	買物・飲食	買い物難民もでるのではないかと思うほど不自由。県立大学など1か所にかたまっていて、しかも駅から遠くて、車のある人向けのお店が多い。	1232508684
川崎市	移動・交通	電車の駅が、鹿島田駅と新川崎駅が、徒歩10分以内にあり、バス停は、家の目の前にある。##また、駅と同様に、商業施設も充実しており、徒歩圏内にある。	初等・中等教育	小学校や中学校は、近くにあり、幼稚園や保育園もすぐ近くに、数件ある。##塾もかなり充実している。	公共空間	市役所や図書館、体育館が、同じ場所にあるが、中途半端な距離で、歩いていくにはちょっと遠いいし、バスで行くにはちょっとお金を払うには躊躇する距離にある。	自然景観	都会であるので、自然の猪足空間がない。##作られた、広場や公園は、あるが自然環境とはいいがたい。	1236618153
小田原市	自然景観	緑が多い。樹木が多い	自然の恵み	富士山と梅景観がよい。海からみる箱根連山の景観もよい	住宅環境	箱物が多い##	地域行政	自民系の市長なので色色なめんでこまる	1230516385
座間市	自然景観	都会すぎず田舎すぎず、少し歩けば自然を感じられる公園や川沿いには期間限定でホタルが見れる場所があったり。	移動・交通	電車で一駅二駅先には海老名や大和に出れる。##	子育て	子育て支援にもう少し力を入れて欲しい。子供が育てやすい環境だからこそ、そこが改善されれば尚良い。	買物・飲食	飲食店が少ない。最近は少しずつ増えてきたとは思うけど、駅チカは居酒屋ばっかり。	1236923301
横浜市	買物・飲食	買い物や飲食の商業施設が充実していることです。	移動・交通	何処に移動するにしても、バスや鉄道の便が良いことです。	公共空間	最寄駅について、エスカレーターなどが少なく階段利用となるため、高齢者のことを考えて改善して欲しいです。	都市景観	地元の街並みは都市計画なく行われているため改善して欲しいです。	1231785741
横浜市	医療・福祉	医療施設の選定が出来る程たくさんある	買物・飲食	施設がたくさんあるので満足	事故・犯罪	治安強化	移動・交通	渋滞の解消等	1235699905
茅ヶ崎市	医療・福祉	徒歩10分以内に内科、歯科、外科、皮膚科、総合病院等があり年寄りには大変有り難いです。	買物・飲食	スーパーや専門店が多くて買い物やショッピングに便利です。	移動・交通	複数の鉄道や交通機関の充実が望まれる。	デジタル生活	アナログでも対応してくれる、行政の確保。	1236331001
横浜市	移動・交通	車がなくても生活できる	買物・飲食	最寄りの駅ですべて事足りる	医療・福祉	大都市のわりに大病院が少ない。また、すべてにおいて東京に負けてる。所得に関わらず高校の無償化や高校生までの医療費無償化もまだ。市長が頼りにならない。	デジタル生活	区役所に行かなくても手続きができるようにしてほしい	1231621938
川崎市	住宅環境	駅チカ	事故・犯罪	犯罪少ない	自然災害	地盤	都市景観	ビルが高い	1236971671
川崎市	自然の恵み	少し行けばちょっとした森や竹林があり、たぬきや蛇などの遭遇率が高いです。	移動・交通	バスで30分もあればアクセスの良い駅があります。	事故・犯罪	川崎は治安が悪いと思われがちな事件が多いです。警察の対応もイマイチだとの噂を多いです。	医療・福祉	歯医者ばかりな気がします。あっても山の上など立地アクセスが悪いです。	1235903565
秦野市	買物・飲食	チェーン店でない美味しい飲食店が有る。	住宅環境	雪が滅多に積もらない、晴れてる日が多い。	住宅環境	場所によって住宅街なのに風向きや時間を考えない野焼きが多くて健康被害や洗濯被害が辛い。	環境共生	スギ花粉対策をしてほしい。	1236841072
横浜市	自然景観		買物・飲食	いろいろある	地域行政	図書館がしょぼい	事故・犯罪	治安が悪いところもある	1233204775
横浜市	遊び・娯楽	いろいろな施設が徒歩圏内にまとまっている。アミューズメント施設とショッピングモールが多い。	都市景観	歴史的建造物が数多く残っている。保全活動も盛ん。	子育て	他自治体に比べて子育て関連の助成制度が少ない。給食も無料ではない。	地域行政	公務員としての矜持を感じない。隠蔽体質が目立つ。	1232255835
横浜市	自然景観	自宅からの景観に満足している。山の斜面の緑が間近に見える。	買物・飲食	散歩程度に歩く距離にスーパー、コンビニ、飲食店があり便利。	地域行政	特に改善の必要なし。	遊び・娯楽	特に改善の必要なし。	1229130520
横浜市	住宅環境	過ごしやすい	移動・交通	駅やバス停が近い	買物・飲食	スーパーが近くに欲しい	地域行政	無駄な公共工事は止めてほしい	1224969646
横浜市	買物・飲食	東京まで行かなくても大体の者が手に入る便利な街だよ横浜	公共空間	東京から程よく離れていて公共機関も土地が広く建てられる	都市景観	いつでも素敵なみなとみらい地区、観光ではなく普通に散歩気分で会楽しめる	子育て	子育て支援は次世代の為の是非お願いしたい	1233936902
藤沢市	移動・交通	新宿や横浜など都市部へのアクセスがよいため。	自然景観	江ノ島や鎌倉などの観光地が近いため。	自然災害	海岸が近いため津波対策などが充実すると安心できる。	デジタル生活	迷子の放送など良くも悪くも田舎っぽさが残っているのでデジタル技術でアップデートできれば良いと思う。	1236273379
藤沢市	買物・飲食	大手チェーンのお店から、地元の飲食店もたくさんあり選択肢が豊富	自然景観	海沿いの景色はやはり気持ちが良くて好きです。	移動・交通	善行団地方面から俣野小学校方面に路線バスができて欲しい。	初等・中等教育	小学校のトイレがまだ和式が多く、子供はあまり使いたがらないのでもっと洋式化してほしい。	1237004539
川崎市	住宅環境	東京、横浜などへのアクセスが良く、家賃が安い。	自然景観	自然が多い	子育て	子育てに優しい政策が欲しい	地域行政	もっとDXを進めて欲しい	1231528317
横浜市	移動・交通	電車	買物・飲食	量販店の数	住宅環境	道路の路面	移動・交通	鶴見の踏切	1234433237
相模原市	自然災害	自然災害が少なく安心して暮らせている点で満足している	医療・福祉	かかりつけの病院も大きな病院も近くにあり不安はない点	事故・犯罪	地域犯罪をなくしてほしい	地域行政	行政が入り組んでて問題が起こった時にどの課に行けばいいかわからないこと	1234508164
座間市	住宅環境	買い物できる場所が近い	移動・交通	バスが多い	遊び・娯楽	犬と暮らしやすい街にして欲しい	地域行政	交通渋滞	1232434398
横須賀市	自然の恵み	地元の野菜や魚介類が美味しい	事故・犯罪	犯罪件数は比較的少ない方ではないかと思う	移動・交通	災害時、国道が塞がった場合、陸の孤島になる危険性が高い	デジタル生活	電波や通信の状況が非常に悪い	1233829605
座間市	買物・飲食	個人店からショッピングモールまで多種多様な店が有る	移動・交通	電車やバスがそれなりに有る	住宅環境	家賃とか意外と高い	医療・福祉	市内に大きな病院が少ない	1229771340
相模原市	自然景観	周りが山なので景色が良くて静かで、住み心地は良いです。	自然の恵み	自然が豊かなので、散歩など良い。	移動・交通	バスが早い時間帯で無くなってしまい、タクシーも無いので、夜遅くまで出かけられない。せめてタクシーがあれば。	買物・飲食	飲食店が無いので、外食の時はかなり遠くまで行かないと。	1228123426
相模原市	移動・交通	小田急線の相模大野駅が最寄り駅なので、各方面へのアクセスが容易なためです。	買物・飲食	商業施設が充実しています。	自然災害	将来への備えとして。	事故・犯罪	危機管理のため。	1230341764
横浜市	子育て	同世代の人が比較的多く、家族ぐるみで仲良くできる人がいること	買物・飲食	近隣にスーパーやドラッグストアが多い	移動・交通	最寄り駅までのアクセスが悪すぎる	地域行政	行政とどのように関わればよいか分からない	1235608322
藤沢市	自然景観	ちょっと歩けば富士山が見える事。	初等・中等教育	小学校、中学校がすぐ近くにある事。	自然災害	もし万が一大地震が発生して津波が起こったとしたら、被害を受けることが予想されるため	遊び・娯楽	バカなサーファーが多く、迷惑しているから	1232580852
座間市	買物・飲食	買い物しやすい	移動・交通	交通に便利	医療・福祉	病院が近くにない	遊び・娯楽	遊び場が少ない	1227180545
横浜市	住宅環境	住宅街の中にあり、車の往来が少なく、夜も静かである。	自然災害	高台にあり、洪水の心配がない。また、地盤が固く地震に強いと言われている。	移動・交通	駅までバスのため、現在計画中の地下鉄が早く開通して欲しい。	買物・飲食	徒歩圏内スーパーが閉店してしまい、跡地が空いているので、そこにまたスーパーが開業して欲しい。	1234804383
横浜市	遊び・娯楽	子連れでも過ごしやすいスポットが多い	移動・交通	東京などにも行きやすく、便利	子育て	子育てに関わる施策が他県に比べて少ない	初等・中等教育	子育てに関わる施策が他県に比べて少ない	1234463037
横浜市	買物・飲食	すぐご飯屋さんや洋服屋さんがある	移動・交通	駅からどこでも行きやすい	住宅環境	家賃を下げて欲しい	事故・犯罪	車通りが多いため	1236220523
横浜市	住宅環境	緑が多い	移動・交通	都心に出やすい	子育て	給食を実現して欲しい	医療・福祉	病院から少ない	1236168083
横浜市	地域行政	地域では、学生さんとお店がコラボして何か新商品を作ったり、福祉の面も声掛けや町ぐるみでイベントなど、月内で催し物を開催し、孤独にならない様防いだりと活発に実施されているのを知っているからです。	デジタル生活	アプリで、行政の手続きやスマホなど操作がわからない場合には、様々な地域と日時が沢山あり、学習しやすくなっています。	買物・飲食	空き地があっても、採算が取れないのか、団地にあった近くのお店が閉店して、買い物も高齢者はバスに乗るか、宅配かと、重い荷物を持ってトボトボやっと歩いているのを見かけている。	自然災害	自然災害が起きる前に準備するものなど、たまにしか情報が無い、具体的に何を事前にが足りない。	1236231682
川崎市	移動・交通	他の街に行きやすいから	買物・飲食	なにかしろ利用できるから	都市景観	のんびり過ごせるから	遊び・娯楽	なにもないから	1232997555
川崎市	買物・飲食	いろんなお店があって買い物しやすいから。	移動・交通	交通機関が整っているので便利	都市景観	犬のフンなどの処理をしない飼い主の人がいて歩道にフンが散らばっていることがあるから。	事故・犯罪	人柄が悪いところがあるから。	1230659682
茅ヶ崎市	買物・飲食	近くにスーパー等がある	自然景観	他に選択肢がないだけ	デジタル生活	5gが入るようにしてほしい	移動・交通	渋滞緩和	1231455821
横浜市	移動・交通	利用できる鉄道が3路線あるから。	買物・飲食	スーパーマーケットが近隣に３件以上ある。	住宅環境	防犯の徹底	医療・福祉	休日に診療してくれる医療機関が増えてほしい	1227859996
横浜市	子育て	無料の遊び場がある。公園がきれい。	医療・福祉	病院が近くにたくさんあり、選べる	移動・交通	バスの本数を増やして欲しい	地域行政	区役所が遠いから、簡易でもいいから増やして欲しい	1233033918
川崎市	住宅環境	人も多すぎず煩くもなく環境良しかと…	買物・飲食	買い物に不便しない	事故・犯罪	事故、犯罪を選択したが、特に気になるところはない	事故・犯罪	これも前項に同じです	1233152967
伊勢原市	自然災害	自然災害での大きな影響もなく、安全性は高いと思います。	自然景観	森林に囲まれたのどかなところです。	買物・飲食	駅前のスーパーは比較的充実しているのですが、商業施設が全くないので、どうにか改善して欲しいです。	地域行政	市役所での手続きの一部が駅前でも可能のようですが、もっと種類を増やして欲しいです。	1234298005
横浜市	買物・飲食	近所でほとんどすべての買い物が満足にできる	医療・福祉	近所に病院がたくさんあり、何かあっても困らない	事故・犯罪	治安が悪い##事件が多い	自然景観	自然が少ないと感じる	1232362845
川崎市	買物・飲食	川崎駅前に商業施設が集積している	移動・交通	東京にも横浜にも電車ですぐ行けるし空港も近い	自然景観	街の緑をもっと増やしてほしい	事故・犯罪	繁華街の治安の維持にもっと努めてほしい	1229036608
川崎市	買物・飲食	買い物をする場所はたくさんあって便利だから。	移動・交通	交通機関は整っているので移動は便利だから。	都市景観	犬のフンを掃除しない人がいて歩道などフンが散らばっているから。	事故・犯罪	人柄の悪い人がいるところが怖いから。	1230669296
相模原市	買物・飲食	近所にスーパー、コンビニ、ドラッグストア、ホームセンターなど、全て徒歩圏内にあるから。	自然の恵み	ダム、牧場、森林、公園などがあって自然な中で過ごすことができる。	子育て	子育てに関して支援が少ない。物資の支給などないし、現金支給も乏しい。##	初等・中等教育	先生の数が圧倒的に足りない。##手がかかる子がいて支援が必要なときなど、突発的な出来事に対してフォローしてくれる人がいない。	1236161482
小田原市	自然景観	海、山　両方の美しい景観を楽しめる	自然の恵み	新鮮な魚を食べられるから。	地域行政	小田原駅周辺の設備を改善して、地域活性に繋げてほしい。小田原城、観光客はいるのに生かしきれていないところが残念。	買物・飲食	買い物をする施設が少ない。##平塚、ネットで済ませてしまうので、若い方向けのショッピングセンターが欲しい	1231476398
厚木市	買物・飲食	駅近にお店が多く便利	自然景観	川沿いの歩道が整備されている	公共空間	図書館が古い	移動・交通	海老名のほうが発展しつつある	1225256302
川崎市	買物・飲食	ロピアが沢山ある	遊び・娯楽	交通の便がよく色々行ける	事故・犯罪	治安が悪い	初等・中等教育	民度を上げる教育	1236637248
川崎市	買物・飲食	東京に近く色々選べる	遊び・娯楽	横浜に色々新規レジャー施設が出来てきて助かる	事故・犯罪	犯罪が多い	初等・中等教育	道徳を教えましょう	1236981017
川崎市	買物・飲食	スーパーが多い	遊び・娯楽	バスが充実している	事故・犯罪	治安	初等・中等教育	ヤンキーが多い	1236839326
横浜市	移動・交通	公共乗り物が多い	都市景観	何となく	医療・福祉	不満だらけで書ききれない	子育て	子供が住みづらい	1235967788
川崎市	自然景観	近くに大きな公園があります。子供達とお弁当を持って一日楽しむことができます。	買物・飲食	電車に乗りますが、買い物で欲しいと思った物は手に入ります。助かります。	医療・福祉	大きな病院はあり安心なのですが、地域の小さな病院が少なくて発熱外来などは、混んでいるからと断られることもあります。	移動・交通	交通機関は十分あるのですが、バスが走っていない部分があります。近くの駅まで徒歩20分、近くのバス停まで10分かかります。	1232664828
横浜市	医療・福祉	公費負担が充実しています。精神だけでなく身体も。またそれに伴う、市営交通の(一部負担)フリーパスがあります。手続きは面倒な部分は否めませんが、窓口担当者は丁寧に説明してくれます。やはり自治体の規模に比例する、と言えます。	移動・交通	特に市営バス網が発達し、どのルートを取っても市内中心部に行くことができます。また、地下鉄もダイヤ乱れや人身事故なくスムーズに移動ができます。そして一部公費負担で市営交通と民間路線バスが全線フリーパスも魅力的です。	都市景観	電線に尽きます。地中化が必要です。	事故・犯罪	ニュースにセンセーショナルに取り上げられるからなのかもしれませんが、凶悪事件が多い気がします。中心部繁華街の治安維持が求められます。	1234831323
横浜市	買物・飲食	コンビニやスーパーが近隣にある	移動・交通	バス停が多い	移動・交通	駅が少ない	住宅環境	マンションを増やして欲しい	1234926553
鎌倉市	移動・交通	複数路線	買物・飲食	スーパーが多い	移動・交通	渋滞	環境共生		1233827953
横浜市	住宅環境	住みやすい街	移動・交通	便利	買物・飲食	買い物には困らない	子育て	暮らしやすい	1233737878
横浜市	移動・交通	都心へも郊外へも比較的アクセスしやすい。都心ほど渋滞ががない。####	買物・飲食	地元の施設で大体の用が足りる、必要なら都心へ買い物にいく。	地域行政	図書館が少ない　東京と比較にならないぐらいひどい	初等・中等教育	中学校の給食がない	1234357022
横浜市	買物・飲食	お店は充実している	移動・交通	公共の交通機関は充実してる	子育て	子連れでのお出かけが、混雑しているし、周りの目が気になる	医療・福祉	老後の生活が心配	1229998524
横浜市	移動・交通	交通の便が良い	住宅環境	駅から近い	医療・福祉	医療補助がない	初等・中等教育	補助がない	1229030996
茅ヶ崎市	住宅環境	静かで自然に囲まれている	買物・飲食	ショッピングセンターや飲食店が充実している	医療・福祉	公共医療機関の体制はさらなる拡充が必要	移動・交通	道路事情の悪い箇所がある	1235797705
横浜市	買物・飲食	百貨店もあるし、スーパーもコンビニもたくさんある	医療・福祉	病院が多い	移動・交通	東京まで一本で行きたい	事故・犯罪	発砲事件とか殺人事件が多い。警邏を頻繁に	1229529111
横浜市	移動・交通	駅から近い	買物・飲食	すぐ近くにスーパーがある	都市景観	特になし	遊び・娯楽	遊べる場所があまりない	1231949303
横浜市	移動・交通	夫の職場にも近く(車通勤)、どこか遊びに行くにも電車で短時間で移動できるから。	自然景観	海が見える景色が近く、最寄りの駅はそんなに大きな駅ではないので、夜は結構星が見える。##	環境共生	ゴミの分別をさせておいて以前はプラごみを燃やしていた。ゴミの収集日も減らしてしまったし、廃品回収に対しての補助も減らしたので、業者が東京に行きたがり横浜の回数が減る結果に。もっといろいろ考えるべきではないかと思う。	自然災害	首都圏が震源地になる地震の可能性はずっと言われているので、対策は万全にしてほしい。財政難なのはわかるけど頑張って！	1236746699
横浜市	住宅環境	特になし	遊び・娯楽	特になし	遊び・娯楽	特になし	子育て	特になし	1235988169
横須賀市	自然の恵み	新鮮な魚や野菜が安く手に入る	買物・飲食	都市部なら買い物難民になりにくい	遊び・娯楽	観光の目玉になるような一日中遊べる大規模テーマパークがほしい	住宅環境	家賃がもう少し安くなってほしい	1226392831
横浜市	買物・飲食	都心に近いけど、物価も安いし多少自然もある	買物・飲食	駅にテナントが揃っている	移動・交通	都心に近い	公共空間	図書館の蔵書が多い	1237009584
大和市	移動・交通	複数路線駅が多くて便利なため	子育て	公園が多くて、遊びに連れて行きやすいため	事故・犯罪	警察官のパトロールを増やして欲しい	自然災害	川があるため、氾濫のないよう対策して欲しい	1236536172
藤沢市	住宅環境	すぐにショッピングモールがあり、買い物に不自由しない	自然の恵み	子供達が遊べる公園がたくさんある。	子育て	給食費無料やもっと子育て支援に力を入れてほしい	移動・交通		1233398413
川崎市	住宅環境	うるさすぎず、静か	自然景観	すこし足を伸ばせば箱根まですぐ	移動・交通	縦断する鉄道がほしい	事故・犯罪	頭おかしいのが増えてきているので抹殺してほしい	1230028626
相模原市	買物・飲食	スーパーが近くに複数あり、買い物に困らない。またドラッグストアもあり便利。	移動・交通	最寄り駅が始発であり座っていくことができる。	買物・飲食	買い物は良いが、良い居酒屋が少ない。数はあるが、チェーン店が多い。	自然景観	特に目立ったものがない。でもそれがなくても問題はなく、強いてあげればという感じ。それだけ現状に満足している。	1231327306
相模原市	住宅環境	過ごしやすいから。	移動・交通	小田急線が便利で、1時間あればだいたいどこでも行けるから	遊び・娯楽	遊ぶ場所がご飯かカラオケしかない	自然景観	あまり自然がない	1235622943
大和市	移動・交通	急行、快速、特急全て大和に停車し、横浜に20分、新宿に50分、渋谷にも全て直結で行けるところ。	地域行政	福祉と教育に惜しみなく税金を費やしているところ	事故・犯罪	駅前の治安の悪さを安全にしてほしい	都市景観	以前はあちこちに花が植えられてたが、現在市長が変わり、花が取り上げられてしまった。また花壇を再開してほしい	1234831874
藤沢市	住宅環境	自然環境、公園が豊富	移動・交通	通勤、通学の便がいい路線が豊富	地域行政	あらゆる面で工夫がなく、独自の施策がない	子育て	特別の進んだ施策がない	1235744946
横須賀市	自然景観	設問の選択肢の中で唯一適当だったのがこれだったので。	買物・飲食	地方に住んでいた時と比較するとましにはなったという感じ。	公共空間	中央駅周辺に出かけるときに使える駐車場があると便利になると思う。	買物・飲食	閉店する店舗が多い。増えて欲しいのに。	1229482904
横浜市	遊び・娯楽	観光地が近い	買物・飲食	美味しいみせがある	都市景観	特になし	医療・福祉	特になし	1233657590
横浜市	移動・交通	市営地下鉄、私営線、バス便などアクセスが良い。##	自然景観	公園、緑が多い	自然災害	急傾斜地の適度な検査をお願いしたい	医療・福祉	福祉関係の施設の充実をお願いしたい	1234314504
川崎市	移動・交通	東急の路線が多く便利	自然の恵み	割と公園が多い	事故・犯罪	尻手黒川線にいまだに暴走族が通る	デジタル生活	市中に無線LANが無い	1226802592
横浜市	買物・飲食	店舗が多く商品の選択肢が多い。	移動・交通	公共交通機関が整備されている。	自然の恵み	都市開発と並行して自然保護に注力して欲しい。	デジタル生活	デジタル行政の告知を充実させて欲しい。	1231634092
藤沢市	移動・交通	鉄道網で都心にも行けるし、高速道も発展していて便利##	自然の恵み	海もあり北部には自然が残っているから	医療・福祉	大きい病院はあるが、住宅地近くの病院があれば便利	買物・飲食	公園等を利用して移動販売など開店してほしい	1226854669
相模原市	自然景観	緑豊かな公園等が沢山有る	移動・交通	リニア新幹線の駅等に力を入れている	自然災害	緑豊富で山も多いので災害対策をしっかりして欲しい	子育て	子育て世代に手厚い手当をして欲しい	1235885805
横浜市	買物・飲食	横浜駅、桜木町駅近辺で何でも揃い、都内に出る必要がない	事故・犯罪	悪質な犯罪が発生したニュースを見る事がなく、安心して外出できる	住宅環境	賃貸住宅が高いので、安くして欲しい	移動・交通	京浜東北線の大船から品川間の移動時間短縮して欲しい	1227471447
藤沢市	自然景観	江の島が近く、丹沢や富士山が遠望できる	自然の恵み	漁港が多く海の幸が新鮮で安い	子育て	横浜などと比較して、教育に関する行政の補助が少ない	自然災害	海に近いため、災害時の津波対策が不十分	1232371022
藤沢市	住宅環境	飛行機が、飛ばなければ、時計の音が、気になる程、静か。	移動・交通	高速道路あり、鉄道網も発達しており、とても便利。	地域行政	市役所職員の対応。とても、理不尽な対応された。指摘後、改善ない。	移動・交通	大型ショッピングモールが、あり、祝日、土日、道路の渋滞。	1232065435
二宮町	自然景観	海があり、山があるところ	自然の恵み	のどか	買物・飲食	個人店が少ない。活気がない	遊び・娯楽	娯楽施設が何もない	1236253337
横浜市	移動・交通	利便性が高い	買物・飲食	利便性が高い	自然災害		事故・犯罪		1229729132
横浜市	買物・飲食	スーパーが多いので便利だからです。	移動・交通	駅が近くバスも多いからです。##	遊び・娯楽	遊び場が少なすぎるからです。	都市景観	景観がよくない。	1236883972
相模原市	自然景観	川の両側が整備されて散歩に適しています。	住宅環境	人通りが少なく静かなところ	地域行政	具体的にわからないがもう少し活性化してほしい。	医療・福祉	眼科、耳鼻科の病院が近くにほしい	1236688790
横浜市	移動・交通	便利	住宅環境	住みやすい	地域行政	役に立っていない	環境共生	みどり税を徴収してるのに何も変わっていない	1227148738
茅ヶ崎市	自然の恵み	海も山もある	自然災害	大きな災害がない	環境共生	気候が良い	移動・交通	バスの本数が少ない	1231576642
大和市	買物・飲食	スーパーや商店街が豊富で金額も安い為	移動・交通	複線通っており、アクセスが良い為	事故・犯罪	治安が悪いと有名な為	都市景観	自然が少ないように感じる為	1236254702
横浜市	移動・交通	空港に行きやすい	遊び・娯楽	飲食店が多い	都市景観	狭い道が多い	子育て	保育園の充実	1234075280
大和市	自然景観	近くに自然公園や田畑があり、静かな点	買物・飲食	過不足なく店が揃っていて、不自由しない点	遊び・娯楽	レジャー系の施設がもう少しあると楽しい	移動・交通	コミュニティバスがもう少し便を増やすか、収容人数多めにしてほしい	1232648376
横浜市	買物・飲食	近くにスーパーが多く買い物に困らない	移動・交通	駅が多く移動に困らない	住宅環境	道が狭く災害時心配	自然景観	緑が少ないと感じる	1229541817
横浜市	医療・福祉	市民病院がとにかく便利	遊び・娯楽	横浜スタジアムが最高	事故・犯罪	夜中などに治安が悪い地域がある	子育て	ベビーカーのままバスに乗れるのはおかしい	1231595515
横浜市	事故・犯罪	防犯 など あまり聞いたことがない	医療・福祉	大きな病院などがたくさんある	自然災害	対策をしっかりしてほしい	公共空間	公園の整備	1234457045
三浦市	自然景観	高い建物がないため、海や山、畑など自然が映える。	自然の恵み	三浦大根や三浦キャベツ等名産。畑が身近なので、楽しめる。	遊び・娯楽	市内、唯一の水族館が閉館してしまい、観光が出来る場所が減ってしまった。同じような観光施設が出来ると良い。	移動・交通	市内はバス、車がないと不便な場所。循環バスやタクシー等、気軽に使いたい。	1230684963
横浜市	買物・飲食	買い物ができる店が多く、様々なものが手に入りやすいから。	医療・福祉	様々なジャンルの病院があるから。	移動・交通	電車の本数が少なかったりと、交通の便が良くないことがあるから。	遊び・娯楽	遊園地などが近所にないから。	1228615629
横浜市	遊び・娯楽	いいね	環境共生	意外と畑や緑ある	移動・交通	間違えた	移動・交通	便はいい	1236947720
横浜市	移動・交通	どこに行くのも便利	買物・飲食	充実してます	移動・交通	道路が狭い##	医療・福祉	特に無し	1226542406
海老名市	環境共生	駅前はなんでも揃っていて、少し離れると自然が多い。都心にも出られる交通の便利な田舎	公共空間	建物がだいたい新しい	医療・福祉	総合病院ぐらいしか大きいところがない	自然災害	あまり対策がされてなさそう	1234635944
川崎市	自然災害	特に何も起こらないから	事故・犯罪	特に何も起こらないから	買物・飲食	お店がないから誘致してほしい	移動・交通	移動が不便だから改善して欲しい	1233290821
伊勢原市	買物・飲食	自転車移動圏内にあるから	移動・交通	小田急で新宿まで一本で行ける	買物・飲食	全体的に値下げ	移動・交通	都内までもっと早く出たい	1230284857
川崎市	住宅環境	住居地域の環境が、都市交通網の充実度と緑化の具合のバランスが丁度良く気に入っている。	都市景観	溝の口・小杉などの中核都市の利便性が高く、それでいて昔ながらの場所も兼ね備えている	移動・交通	田園都市線のダイヤが市内駅、特に宮崎台・宮前平に全ての犠牲を背負わせるようなダイヤになっているため、一刻も早く改善してほしい	自然災害	用途地域の関係で自然災害対策が進められない地域など、運用面での課題が多いと感じるので改善方針を示してほしい	1236021905
横浜市	移動・交通	便利	買物・飲食	充実している	子育て	支援	住宅環境	補助	1233234859
