ラベル	満足度	文章	会員ID
地域行政	不満	道路の車線マーキングが剥げてきても補修されない、跨線橋が老朽化しても架け替え予算がつかない。	1234487274
住宅環境	満足	高台に居住。見晴らしがよく夏は花火が綺麗に見える。	1233738878
移動・交通	満足	2路線の駅が近くにあり、両方とも職場方向に行くので、片方が止まってももう片方が使える。	1233738878
都市景観	不満	街が、住み始めた20年前からほとんど変わらない。発展がない。	1233738878
移動・交通	満足	３路線が使えて、東京方面へのアクセスも良い	1230083985
買物・飲食	不満	駅前の開発が中途半端なため、飲食のチェーン店が同規模の駅に比べて少ない。	1230083985
公共空間	不満	藤沢駅前の整備を行っているが、有効に使われていない。	1230083985
移動・交通	満足	二駅利用可能な上、駅まで10分以内で行く所。	1235897533
住宅環境	満足	緑道が目の前にあり、周辺にはマンションが多く建ち並ぶ点です。	1235897533
自然景観	不満	緑道や公園の清掃、整備をまめにして欲しい。	1235897533
住宅環境	満足	地域柄か隣近所との関係が良いところ。子供たちが遊べる公園も近所に多くあり、買い物等もストレスなく現在は満足しています。	1228972140
移動・交通	満足	駅まで徒歩圏内であり出掛けやすいことと、バスも利用しやすい点です。	1228972140
地域行政	不満	この項目でいいのか分かりませんが、自治会についてです。現役世代は共働きが多く、どのご家庭も役員が回ってくるのが負担です。	1228972140
事故・犯罪	不満	路上駐車の取り締まりを強化してほしいです。	1228972140
買物・飲食	満足	スーパーが近く何店舗もあり生活がしやすいです。	1233133539
事故・犯罪	満足	比較的に住宅街なので治安が良くゆったりと暮らすには良い環境です。	1233133539
移動・交通	不満	道路沿いなのでバス停は近いですが駅まで15分ぐらいかかり、##ましてはバス便が少ないバス停もあります。##もっとバス便を増やして頂けると有り難いです。	1233133539
自然景観	不満	空地が住宅にかわり緑が少なくごちゃごちゃしている気がします。##区画整理の土地に指定すれば##もう少しすっきりして見えるのかもしれません。	1233133539
自然災害	満足	地盤がしっかりしており地震の時も周りより揺れが小さい。かつ台地上のため水害のリスクも低い	1234321193
移動・交通	満足	新幹線や航空機へのアクセスが良い。また車異動でも東名高速、中央道、圏央道にも近い。	1234321193
買物・飲食	不満	水道水が硬水のため、乾いた跡が付きやすい。水源を変えるのは無理なので改善は期待しないが最も不満な点である。	1234321193
住宅環境	満足	建ぺい率1種で、家が建て込んでいない。静かです。	1234066617
医療・福祉	満足	病院がクリニックから大学病院まで揃ってます。##	1234066617
住宅環境	不満	一戸建てを購入したいので、良い住宅環境を望みます	1236972273
子育て	不満	子育て施策全国No.1の地域になってほしいです	1236972273
医療・福祉	満足	病院がそばに多くあり、医療費の控除申請も進んで教えてくれる	1233566313
買物・飲食	満足	モールが近場に2か所あり、車の渋滞は困るけれど普段は安易に買い物に行けるので助かる	1233566313
移動・交通	満足	最寄り駅から2駅で小田急や田園都市線に乗ることができる	1230959554
住宅環境	満足	開成町は面積が小さいので、駅にも近くて、スーパーマーケット、薬局、本屋、診療所等歩いて行けるので、満足している	1228251027
自然景観	満足	畑や小さな公園等、緑が多くて、遠くには箱根山、富士山、丹沢山に囲まれていること	1228251027
事故・犯罪	不満	町の人口が増えてきているので、駅前の交番等、無人でなく人員配置して欲しい。##	1228251027
遊び・娯楽	不満	公共の体育館、トレーニングジムのようなところが欲しい	1228251027
地域行政	満足	役所関係の手続き時の職員の対応が周りの市の中で一番対応がよかったです。	1234539752
買物・飲食	不満	以前暮らしていた土地柄もあるとは思いますが、現在の市の方が物価が高くかんじます。	1234539752
事故・犯罪	不満	以前住んでいた地域でも小さな犯罪はありましたが、現在の土地のほうが物騒だなと思うことが多いです。	1234539752
自然の恵み	満足	駅前は開発されているが離れると自然を楽しめる	1230955895
医療・福祉	不満	病院がいつも混雑し、予約でも2時間待つ、駐車場も高額	1230955895
事故・犯罪	不満	人工は増えているがモラルを守らない人も増えている	1230955895
自然景観	満足	海もあり山もある美しい景色。温暖な気候。	1233257851
移動・交通	満足	どこに行くにも公共交通機関で移動ができる。（交通網が発達している）	1235386123
買物・飲食	満足	安いお店から高級なお店まで、いろいろなバリュエーションがある。	1235386123
地域行政	不満	住民税が高いが、他の都市と比べて行政サービスが充実しているとはいいがたい。	1235386123
買物・飲食	満足	家の周りに飲食店やコンビニなどいろいろあって便利	1232653409
事故・犯罪	不満	周りにあまりよくない建物があるので環境がよくない	1232653409
移動・交通	満足	比較的落ち着いた住宅地でありながら、駅にも近いところ。	1233318343
医療・福祉	不満	ご高齢の一人暮らしの方も多く、行政の見守り等が行き届く地域であることを願います。	1233318343
買物・飲食	不満	買い物する場所が、近くには限られたスーパーしかなく、選択肢が少ない。もう少し店舗が増えて、定着して欲しい。	1233318343
公共空間	満足	区役所などの公共機関が集合しており徒歩圏内で利便性が良い。	1230910853
買物・飲食	満足	チェーン店が多いので飲食や買い物に便利である。	1230910853
子育て	不満	少子高齢化対策として子育て世代に支給金や税制で優遇する。	1230910853
デジタル生活	不満	高齢者にもデジタルを身近に感じる様に無料で講習して貰いたい。	1230910853
住宅環境	満足	第二東名などの交通整備が進み、車での移動が楽。近隣市町村でのショッピングにも事欠かない。	1225756633
医療・福祉	満足	東海大学病院や協同病院があり、高度な医療処置を受けることができる。	1225756633
移動・交通	不満	とにかく道路の舗装や道路標示の質が悪すぎる。	1225756633
公共空間	不満	子供が遊べる公園整備を進めてほしい。できれば駐車場付きで。	1225756633
移動・交通	満足	鉄道がたくさん走っていて、バスもいろんな路線があるので、車がなくても移動しやすい。	1236721182
事故・犯罪	不満	少なくなるように見回りを増やしてほしい。	1236721182
住宅環境	満足	世田谷等と比べ住宅街の道路がきちんと整備され、ごちゃごちゃしてない洗練された街である。	1231512476
移動・交通	満足	都心にも横浜にも適度な時間で行けるのに加え高速も近い、	1231512476
住宅環境	満足	住宅街ではあるが、隣との距離も十分に離れており、公道があるが行き止まりになっている為、知らない車や人が入ってくる事もなく静かな環境のため。	1229582196
自然災害	満足	20年住んでいるが、台風時も大きな災害にはならなかったし、県内では停電の回数も少なく、排水が良いので水たまりが長く残っている事もない為。##	1229582196
事故・犯罪	不満	近くに古めかしいアパートがあるが、住人に変な人がいる様で月に一度くらいでパトカーが来る事がある。##アパートは取り壊しの予定の様なので、早く取り壊してほしい。	1229582196
移動・交通	不満	最寄りの駅までは徒歩15分くらいか掛かるので、バスの本数をもっと増やしてほしい。	1229582196
デジタル生活	満足	オープンデータなどの活動がほかの町に比べて、推進されている。	1236452294
遊び・娯楽	満足	まちに娯楽施設と観光施設がバランスよくある。	1236452294
自然景観	不満	観光化を推進する一方で、自然や景観の美しさも維持する活動がなされている。	1236452294
自然災害	不満	地形の起伏が多く、災害時の危険が高い。地域にあった災害対策が必要と思われる。	1236452294
住宅環境	満足	普段使いできる買い物先が充実している。##また、車通りもそれほど多くなくうるさくない。	1228196523
医療・福祉	不満	行政の施策がわるい、住民のほうに向いていない、発信がない	1224973805
事故・犯罪	不満	路地などはまだ暗いところが多く、不審者情報がある	1229276318
医療・福祉	不満	土日、祝日でも受診出来る病院を増やして欲しい	1234903354
移動・交通	満足	自宅から都心へ公共交通機関で短時間で行ける	1235155709
事故・犯罪	不満	地域内の泥棒や押し入れ訪問(詐欺行為)が散見しているのでパトロールの強化	1235155709
公共空間	不満	道路幅が狭い。根本的解決は難しいのかもしれませんが、道路近くの土地を行政が買収したりして、改善して欲しい。安全を確保して欲しい。	1231748694
自然災害	不満	市役所移転を実行して欲しい。移転先も水害に弱いようなので、一階部分は、駐車場にするなど、対策はして欲しい。	1231748694
地域行政	満足	公民館が小学校区毎に整備されていて、証明書等の行政サービスが充実している	1236114594
移動・交通	不満	人口25万人の都市なのに鉄道駅がJR1駅しか無い	1236114594
買物・飲食	不満	駅前商業施設は撤退が進み閑散としている。郊外に大型ショッピング施設はあるがパッとしない。全国的に有名な核となるブランドの商業施設が欲しいところです有る	1236114594
移動・交通	満足	バスや相鉄線など色々あるので便利だからです。	1231841983
都市景観	満足	自宅から程よい距離にみなとみらいやランドマークタワーなど有名観光地がある。	1227793391
自然の恵み	満足	都市中心部は発展しているが、郊外はまだ田舎の風情を残している。	1227793391
子育て	不満	子供の医療費用助成や中学校休職、学童の助成などは全国でもワースト1位のレベル。	1227793391
子育て	不満	子育て世代への助成が他の政令指定都市より遥かに遅れている。	1227793391
住宅環境	不満	居住地域によって色々制約があり不便(低層住宅、車両通り抜け禁止等)	1232223858
子育て	満足	子育て支援の充実は周辺の自治体に影響をもたらすぐらい##充実していると感じているので。	1226718603
自然災害	満足	所々地盤が緩く低い土地があるものの、##全般的には地盤が固く高い土地の地域が多い分、##いろんな災害が起きにくい環境にあるので。	1226718603
デジタル生活	不満	もう少し手続きを含めていろんな面でデジタル化を進めて良いと思いますし、##自治体が管理する公衆Wi-Fiをもっと使える場所を広げて欲しい。	1226718603
医療・福祉	不満	医療はまずまずではあるものの老人福祉の充実は##今の高齢化社会を考えてももっと支援をしてあげて欲しい。##介護現場はかなり厳しそうな状況を知っているので。	1226718603
住宅環境	満足	提示されたすべての項目において、満足できているものはなかったので、とりあえず少しはマシかなと思う住環境にしました。家の前は急な坂道で高齢者には厳しいですが。静かでのんびり過ごすには良い場所です。一方、市内の限界集落のようなところなのでどこに行くにしても、何をするにも不便。「ぽつんと一軒家」状態を体現しています。	1232221161
自然の恵み	満足	住宅地なので自然というものはないのですが、とりあえず徒歩数分のところに樹木が多く広めの公園があるので。ただし、深い谷戸の公園なのであ、歩くのは大変です。	1232221161
移動・交通	不満	最寄りの駅まで徒歩25～30分。いくつかの路線バスが走っていますが、停留所までは徒歩10分以上。本数も少なく、行き先によっては2時間に1本程度の場所も。そのため、若い世帯が減り高齢者ばかりですが、移動手段がほぼないので引きこもり気味です。	1232221161
自然災害	不満	築年数が古い木造住宅が多く、能登半島などで発生した規模の地震があれば、多くの建物が倒壊・火災によって消失されると思われます。一方、行政からの案内や指導、支援はほぼなく、「自分で何とかしろ」状態です。一部は急傾斜地にあり崩れたこともありますが、人が死んだり取り返しのつかない被害がおきたりしなければ行政が動かないのは、何とかしてほしいです。	1232221161
移動・交通	不満	夜間の路線バスの減便を再検討（減便前の状態）に戻してほしい。	1231140819
事故・犯罪	不満	職場前の道路の交通事故が多いので、制限速度を低くしてほしい。	1231140819
医療・福祉	満足	徒歩圏内に各種クリニック、総合病院がある。近距離にはリハビリ専門病院、デイサービスが多数ある。##	1230528754
買物・飲食	満足	徒歩圏内にスーパー、ドラックストア、コンビニ、ラーメン屋、マック等、吉野家等一通りある。	1230528754
環境共生	不満	商店街に駐車場がなく車だと買い物しにくい。	1230528754
都市景観	不満	昔ながらの個人商店が多く、焦点を閉鎖してシャッターを閉め、二階に居住しているいわゆるシャッター街がある。	1230528754
子育て	満足	充分に教育を受けられる機会がしっかりしている	1230491125
住宅環境	不満	家賃が高過ぎるのでもう少し手頃になって欲しい	1230491125
移動・交通	満足	東京地区に横須賀線、京浜東北線、東急東横線、目黒線、田園都市線、小田急、京王、京浜急行などJR,私鉄など鉄道路線が充実しています。横浜市内も横浜市営地下鉄があり、便利です。	1226955311
自然景観	満足	東京地区より人口密度が低く、緑化地域、公園など自然環境が多いです。こどもの国、ズーラシア、八景島シーパラダイスなどの東京にはない大型の自然と融合されたレジャー施設もあります。	1226955311
子育て	不満	東京都に比べて子育て政策が後追いであることは否めません。教育費実質無料化、保育園の整備など、まず東京が先行してから、導入され、行政の補助内容も東京より見劣りします。	1226955311
自然災害	不満	東京直下地震、東南海地震に対する備えが心配です。現状でも風水害の際の大規模停電を経験しており、社会インフラが脆弱です。東京より電力の地下化など進めやすいように思えますが、人口密集地域の災害対策が十分とは思えないです。	1226955311
買物・飲食	満足	自宅から徒歩で行かれるスーパーや飲食店がたくさんあります。買い物も外食も、ほぼ選び放題です。	1226510147
移動・交通	満足	最寄り駅まで、徒歩で１２分程度で行かれますし、そこで電車に乗れば乗り換え無しで、かなりの所まで行かれるので、とても便利です。	1226510147
事故・犯罪	不満	大都市なので、犯罪や交通事故は、とても多いと感じているからです。	1226510147
初等・中等教育	不満	中学校では、未だに給食がありません。全国的にも珍しく遅れています。	1226510147
医療・福祉	不満	どれか一つに絞れない。どれも改善してほしい。	1232353113
買物・飲食	満足	駅近くにデパートや飲食店、スーパーなどがたくさんあり便利なので満足しています	1236114944
移動・交通	満足	最寄り駅に近く、都心に移動するにも利便性がとても良いので満足しています	1236114944
環境共生	不満	ここ最近、木の伐採が盛んにされており見直してほしい	1236114944
自然の恵み	不満	住宅建築などが盛んに行われており公園などの自然環境が減っているように感じられるので公園など自然を増やす取り組みを行ってほしい	1236114944
医療・福祉	不満	小さい病院しかない。先日急性疾患になり夜間救急とされている逗葉医療センターにいきましたが設備はなく、レントゲン技師も時間前に閉めてしまっているという杜撰な状況。結局近隣の自治体の救急対応病院へ自分の足で向かう羽目に。風邪しか診れないので意味がない。総合病院誘致の話がでては反対勢力のおかげで立ち消え。近隣の市に頼りっきりで恥ずかしくないのかと考える。	1230571103
公共空間	不満	道路など公共部分の設備の老朽化がとても目立つ。	1230571103
自然景観	不満	マンションとかどんどんたって緑が減っている	1231556660
地域行政	不満	行政手属きはある程度コンビニで出来るようになったが、物足りない。	1234688458
自然景観	不満	時に不満は無いが、もう少し近代感があれば良い。	1234688458
デジタル生活	満足	ほかの項目で満足できるものがなかったので、やむを得ず選んだ	1228424176
住宅環境	満足	これも満足しているわけでなく、仕方なくあえて選んだ	1228424176
移動・交通	不満	最寄り駅が遠いので、バス便が現状以上に不便にならないようにしていただきたい	1228424176
買物・飲食	満足	国道が近くにあるので、食べ物屋さんもあるし、ディスカウントストアもあるし、物価が安いから	1231413074
移動・交通	不満	坂道が多いから自転車が大変だが、バスは通っていないから大変	1231413074
医療・福祉	不満	他の地域は高校生まで医療費が無料だが、これからやっと高校生まで無料になるから少し他の地域よりも遅い。	1231413074
地域行政	不満	藤沢市や平塚市は住民に手厚い。茅ヶ崎市も還元されるような行政をして欲しい	1233895758
買物・飲食	満足	徒歩1分程度ところにコンビニが２店舗ありスーパーも徒歩3分程度のところに1店舗あるから	1231344122
移動・交通	満足	今住んでいるマンションの目の前にバス停があり、そのバス停がＪＲや京急の6か所の駅に行けるので	1231344122
公共空間	不満	今住んでいるマンションの目の前にエホバの証人の建物があり信者が日曜日にたくさん来られ、その信者の大半は、高齢者なので邪魔になることがあるから	1231344122
地域行政	不満	地域に住んでいる人に田舎では、温泉の入浴料が安くなるようなポイントがあるが今住んでいるところには、何も得になるようなポイントがない	1231344122
買物・飲食	満足	家の近くに買い物する施設がたくさんあり便利	1229280043
事故・犯罪	不満	人口が多く都市部なので治安の悪い地域もある	1229280043
移動・交通	満足	横浜駅、新横浜駅、羽田空港、東京、渋谷、新宿に乗り換えなしで行け、運行本数も多い。市バスも位置情報を備えており使い勝手が良い	1231789647
買物・飲食	満足	大型スーパーのイオンがあり日常の必要なものは手に入るし##電車で3分で横浜に行けるので手に入れたいものは大多数手に入る	1231789647
デジタル生活	不満	デジタル化が進んでいるので区単位に行政窓口のやり方が前近代的なことが散見すること	1231789647
自然災害	不満	地震災害の避難所などの対応について明確なものがないので不安であるのでより具体的な絵姿を示して欲しい	1231789647
住宅環境	満足	都会ほどゴミゴミしてないが、車があれば買い物も困らない。	1225708517
移動・交通	満足	電車やバスで行きたいところに行きやすい。交通が発達してる点。	1236955971
都市景観	不満	都市部に緑が少ないと感じるため緑を増やしてほしい	1236955971
事故・犯罪	不満	イメージとして犯罪が多いと思われているため、イメージ改善に努めて欲しい	1236955971
住宅環境	満足	治安が良く騒がしくもなく落ち着いているので、安心して住める所に満足している。	1230680990
遊び・娯楽	満足	遊園地、ゲームセンター、マンガ喫茶、映画館、博物館、水族館、動物園など、様々な施設があり、期間限定の施設もあったりと、近場で色々楽しめるので満足している。	1230680990
自然の恵み	満足	自然が多く、特に山、川などでキャンプを楽しめる。	1235458991
医療・福祉	不満	障害者などの社会的弱者に対する援助をより拡充させてほしい	1235216708
移動・交通	不満	バスの便が少し少なくなって来ている気がするのでもう少し増やしてほしい	1235216708
移動・交通	満足	駅近なこと。電車が頻繁に来て、遅れなども比較的少ない。	1233327867
買物・飲食	満足	近くにスーパーやコンビニ、ドラッグストアも多くてとても便利。買い物に困らない。	1233327867
自然災害	不満	大雨が降ると河川の氾濫や水溜りのできるエリアがあること。	1233327867
事故・犯罪	不満	自分が住んでいるエリアではないが、川崎市には治安の悪いエリアがあるため、悪いイメージを持たれることがある。	1233327867
買物・飲食	満足	近くに安くて安心なスーパーがあり、食生活環境がよくなったから。	1227235754
移動・交通	満足	私鉄各線が揃っていて都心はもちろん各方面へのアクセスが良い	1230148982
都市景観	満足	赤レンガ倉庫・中華街など歴史や文化を感じさせるものが揃っている。	1230148982
自然災害	不満	横浜市は坂が多く傾斜地が多いので土砂災害に弱い。土砂災害防止施設の整備を強化し、日頃の避難訓練の実施や食料などの備蓄、避難場所の確保を増やすこと。	1230148982
地域行政	満足	行政サービスや出張所での手続きが便利だと感じる	1230225593
買物・飲食	不満	川崎から出る必要のないくらい何度も揃い、食やレジャーも充実している	1230225593
買物・飲食	満足	都内に出なくても都内と同じ様なものが大体買える	1226979240
医療・福祉	不満	病院がいつも混んでる。女性特有の症状を診る病院が少ない。	1226979240
買物・飲食	満足	大きなショッピングモールや小さなスーパーなどが多数あり、国道沿いや駅付近に飲食店が多数あり様々な選択肢があるため。	1231255539
移動・交通	満足	都心方面に出るにも南方面に出るにもアクセスがよい小田急があったり、相鉄線があったり、横浜まで一本でいける横浜線があったりと交通の便が良いから。	1231255539
地域行政	不満	デジタルの活用でもっと便利にして欲しい。	1231255539
医療・福祉	不満	高齢者の入院数が多く病床数が足りないため現役世代の入院が厳しい状況をどうにかして欲しい	1231255539
買物・飲食	不満	駅周辺、夜になると飲み屋のキャッチなど治安がよくない	1234198867
買物・飲食	満足	駅周辺にお店が多い。駅ビルにもいろいろなお店が入っていて便利です。	1232093776
移動・交通	不満	七夕祭りのときに道路を封鎖するため混雑するところ	1232093776
移動・交通	満足	東京に出るときだけでなく、羽田空港や新横浜駅にも近いので、日本全国行きやすいと思っている。	1229743442
事故・犯罪	不満	人口が多いこともあるが、事故や犯罪数を減らせる取り組みをしてほしい。	1229743442
移動・交通	満足	電車などの交通の便が良くなり都心にも出やすい	1230857600
買物・飲食	不満	川崎市はお勧めできるソールフードがない様な気がする	1230857600
地域行政	不満	ふるさと納税にもっと力を入れて税金が戻って来る様にしてほしい	1230857600
自然景観	満足	湘南の海風を感じられる自然豊かで穏やかな場所だから	1235922727
住宅環境	満足	郵便局や銀行が徒歩数分で行くことができる環境にあること。	1236838426
移動・交通	満足	バス移動時に、バス停まで数分で行くことができ、最寄りの駅まで10数分で行くことができる環境であること。	1236838426
デジタル生活	不満	行政関係の申請や交付をするときに、市役所まで出向いて行う必要があり、デジタル行政関係が遅れていると感じる。	1236838426
医療・福祉	不満	高齢者福祉・支援や障害者支援などを包括的に対応できる具体的な体制や組織が不十分であると感じている。	1236838426
医療・福祉	不満	南部地区に総合病院がないので設置してほしい。	1231797204
買物・飲食	不満	藤沢駅周辺のショッピング環境を更に改善してほしい。	1231797204
買物・飲食	満足	駅前にスーパー、ドラッグストア、100均、飲食店など生活に必要な施設が揃っている。	1235895537
